order_id,customer_id,product_id,amount,order_date
1,7,68,355.06,2024-02-19
2,683,18,81.91,2025-03-07
3,883,94,136.03,2023-05-26
4,951,35,64.36,2023-11-06
5,431,5,-66.76,2022-06-10
6,945,83,450.47,2022-05-20
7,159,75,905.1,2024-01-10
8,752,85,-76.28,2023-03-11
9,787,62,285.7,2022-06-07
10,850,2,792.97,2022-09-16
11,346,21,839.11,2024-01-21
12,769,32,522.65,2024-09-10
13,25,16,830.22,2022-10-28
14,280,76,419.32,2023-04-14
15,103,53,816.36,2024-12-29
16,519,27,174.67,2024-03-07
17,270,35,125.56,2023-04-16
18,555,68,663.12,2023-05-01
19,671,1,665.81,2023-02-17
20,837,86,373.3,2025-03-25
21,85,43,98.98,2024-04-12
22,999,96,186.2,2022-06-21
23,951,36,101.66,2022-05-31
24,211,21,465.62,2023-07-28
25,583,47,858.7,2023-11-15
26,73,6,288.25,2022-09-27
27,701,32,704.33,2023-07-12
28,852,68,318.36,2023-03-18
29,491,63,905.05,2024-04-23
30,555,17,284.71,2024-10-24
31,969,85,866.13,2023-04-01
32,303,15,615.42,2024-03-31
33,42,67,112.75,2022-08-01
34,203,80,16.28,2023-07-24
35,28,86,905.32,2022-06-24
36,544,77,523.87,2024-08-23
37,986,68,913.76,2024-02-20
38,442,96,300.79,2023-07-22
39,329,71,470.22,2022-10-28
40,496,82,835.21,2023-01-20
41,890,93,667.32,2023-11-12
42,842,4,884.01,2022-06-21
43,825,6,655.84,2024-10-07
44,551,44,53.01,2023-10-05
45,355,95,462.01,2022-09-04
46,923,55,194.75,2025-04-13
47,42,76,751.82,2023-11-26
48,145,57,702.59,2023-05-21
49,923,45,115.26,2023-03-02
50,773,36,531.01,2023-07-19
51,599,85,721.28,2022-10-28
52,902,72,972.37,2023-06-06
53,814,20,803.88,2025-03-24
54,580,6,571.97,2022-11-24
55,319,11,466.01,2023-09-16
56,46,95,343.29,2024-03-10
57,94,72,779.0,2025-03-18
58,990,85,344.0,2024-05-05
59,833,14,65.55,2024-07-26
60,190,41,19.82,2022-06-11
61,333,71,490.5,2024-02-02
62,137,97,944.53,2024-04-13
63,428,54,133.15,2022-10-29
64,890,3,678.21,2023-11-17
65,428,63,72.39,2023-01-20
66,824,11,380.24,2024-08-19
67,92,15,180.71,2023-10-06
68,165,36,-88.32,2023-11-27
69,323,100,190.56,2023-11-01
70,849,10,399.67,2024-08-23
71,125,39,763.34,2024-01-02
72,85,65,79.89,2025-04-07
73,604,46,977.53,2024-11-21
74,351,14,161.31,2023-08-29
75,96,29,898.48,2025-03-16
76,986,43,222.65,2023-12-31
77,599,87,146.36,2023-07-29
78,496,52,581.79,2022-11-14
79,165,25,370.65,2023-04-03
80,432,87,780.5,2023-07-17
81,440,33,813.78,2022-10-06
82,4,54,859.3,2022-07-17
83,572,89,528.5,2025-03-07
84,352,44,216.89,2024-11-02
85,144,59,49.03,2022-11-22
86,207,40,23.26,2024-04-07
87,248,65,485.09,2022-09-08
88,576,80,436.69,2023-01-02
89,976,86,760.83,2022-05-18
90,677,48,457.38,2023-06-16
91,699,48,138.73,2024-10-01
92,373,8,90.75,2024-05-21
93,339,55,125.45,2022-08-18
94,939,72,831.96,2024-11-23
95,631,93,129.77,2022-10-11
96,484,94,390.21,2023-07-30
97,79,77,923.73,2024-10-28
98,511,30,357.92,2023-08-11
99,947,2,859.53,2025-01-08
100,896,24,500.28,2022-06-12
101,19,8,744.82,2022-12-21
102,136,65,801.82,2023-08-30
103,30,66,753.98,2022-11-06
104,626,19,92.07,2023-05-24
105,930,41,675.8,2022-08-19
106,348,37,173.71,2022-09-06
107,544,27,638.19,2022-09-09
108,897,69,50.04,2024-12-12
109,82,19,106.05,2025-02-26
110,149,53,952.64,2025-01-24
111,133,59,950.21,2024-09-02
112,493,27,114.24,2022-09-01
113,230,6,915.95,2023-12-20
114,58,56,146.67,2023-09-28
115,780,27,363.37,2023-03-23
116,207,68,449.82,2025-02-14
117,978,41,909.22,2025-04-12
118,593,53,62.18,2024-02-16
119,348,63,414.23,2023-12-11
120,975,15,84.77,2024-09-09
121,861,55,738.37,2022-06-26
122,978,30,376.73,2022-12-13
123,915,76,97.87,2023-05-30
124,48,99,803.28,2024-12-29
125,747,35,924.85,2024-05-30
126,252,32,336.55,2024-03-16
127,598,30,193.73,2025-02-27
128,825,82,572.67,2023-02-20
129,144,44,854.69,2023-10-28
130,476,95,809.71,2022-05-04
131,915,61,385.91,2023-08-20
132,754,34,607.93,2024-06-29
133,228,23,158.65,2022-08-11
134,595,81,480.24,2023-11-29
135,781,64,114.87,2023-07-11
136,352,2,54.2,2023-01-10
137,759,29,395.87,2024-04-05
138,225,60,751.91,2024-09-12
139,59,76,285.07,2022-09-29
140,965,8,494.0,2022-05-15
141,327,9,359.19,2023-09-07
142,383,38,292.89,2025-02-18
143,669,90,662.56,2024-06-07
144,640,32,196.53,2023-10-31
145,757,97,67.29,2024-11-27
146,399,33,483.6,2023-12-26
147,577,99,78.51,2024-09-08
148,438,55,895.18,2023-02-24
149,223,97,314.13,2023-11-05
150,314,3,274.54,2024-07-07
151,851,22,742.74,2025-01-27
152,756,39,900.39,2024-08-20
153,346,64,223.6,2024-09-02
154,491,54,213.03,2025-03-11
155,546,97,267.88,2024-02-25
156,162,60,906.79,2024-08-31
157,104,92,955.58,2024-10-25
158,100,3,285.8,2025-01-24
159,563,81,969.65,2022-05-16
160,306,13,341.34,2023-03-20
161,653,53,842.83,2024-02-10
162,766,47,678.84,2023-12-15
163,750,35,254.26,2024-11-19
164,106,49,707.24,2024-04-24
165,234,45,743.63,2024-12-10
166,638,63,880.52,2022-08-15
167,570,31,440.39,2023-05-24
168,4,35,508.6,2024-05-18
169,360,56,80.31,2024-05-30
170,577,63,657.97,2022-07-10
171,969,94,668.85,2025-03-19
172,49,5,541.31,2023-06-13
173,17,16,209.04,2022-12-17
174,853,79,146.69,2022-12-02
175,543,81,952.7,2025-01-14
176,118,6,655.78,2024-10-06
177,732,73,786.09,2024-05-07
178,314,34,977.28,2024-01-17
179,27,62,153.4,2024-03-29
180,537,63,72.64,2023-10-19
181,585,62,-25.25,2025-02-28
182,664,10,593.92,2022-06-18
183,357,30,523.95,2025-04-06
184,251,97,230.04,2024-09-15
185,982,88,151.04,2023-02-27
186,831,34,911.93,2024-03-01
187,290,71,887.08,2022-10-21
188,210,79,675.23,2025-03-09
189,828,70,867.63,2025-03-04
190,767,41,456.63,2024-07-24
191,769,12,725.78,2022-07-24
192,721,65,893.07,2023-01-22
193,672,30,229.06,2023-01-22
194,763,24,264.1,2022-12-02
195,676,74,173.82,2025-01-15
196,935,64,276.65,2024-08-08
197,201,58,433.11,2024-07-19
198,695,49,377.86,2022-05-21
199,676,91,152.08,2024-10-25
200,625,22,289.43,2022-11-29
201,764,75,121.45,2023-03-12
202,207,65,857.46,2024-11-04
203,404,94,219.94,2022-07-28
204,554,80,699.94,2024-10-01
205,138,63,897.28,2024-01-09
206,307,96,88.25,2025-03-18
207,851,86,169.67,2022-09-02
208,767,16,335.36,2022-06-27
209,325,48,352.28,2024-06-08
210,917,83,771.56,2022-12-13
211,835,62,462.66,2023-12-03
212,201,82,12.2,2023-05-20
213,35,2,107.38,2024-03-26
214,948,8,-20.54,2022-08-07
215,796,27,684.75,2024-12-09
216,597,54,17.09,2023-06-28
217,326,99,665.14,2022-05-20
218,334,31,497.61,2023-07-11
219,352,6,30.74,2023-10-20
220,680,3,680.17,2025-01-31
221,97,45,834.19,2023-04-27
222,446,68,128.53,2024-12-04
223,672,72,78.96,2024-10-19
224,644,14,523.41,2023-10-10
225,667,45,432.62,2023-03-24
