order_id,customer_id,product_id,order_date,quantity_sold,revenue
1,7,68,2/19/2024,3,276.91
2,683,18,3/7/2025,4,721.96
3,883,94,5/26/2023,2,391.43
4,951,35,11/6/2023,4,678.34
5,431,5,6/10/2022,2,175.36
6,945,83,5/20/2022,5,981.02
7,159,75,1/10/2024,2,352.66
8,752,85,3/11/2023,5,63.21
9,787,62,6/7/2022,2,213.17
10,850,2,9/16/2022,4,409.3
11,346,21,1/21/2024,4,766.29
12,769,32,9/10/2024,3,441.4
13,25,16,10/28/2022,3,153.49
14,280,76,4/14/2023,2,43.26
16,519,27,3/7/2024,4,786.59
17,270,35,4/16/2023,3,81.3
18,555,68,5/1/2023,5,640.41
19,671,1,2/17/2023,3,428.88
20,837,86,3/25/2025,4,609.94
21,85,43,4/12/2024,5,86.26
22,999,96,6/21/2022,1,180.76
23,951,36,5/31/2022,5,837.61
24,211,21,7/28/2023,3,361.85
26,73,6,9/27/2022,5,748.15
27,701,32,7/12/2023,3,505.42
28,852,68,3/18/2023,2,317.23
29,491,63,4/23/2024,2,217.41
30,555,17,10/24/2024,1,175.44
31,969,85,4/1/2023,2,370.72
32,303,15,3/31/2024,2,341.87
33,42,67,8/1/2022,2,89.93
34,203,80,7/24/2023,3,36.2
35,28,86,6/24/2022,2,120.9
36,544,77,8/23/2024,2,271.44
37,986,68,2/20/2024,2,353.34
38,442,96,7/22/2023,1,180.17
39,329,71,10/28/2022,1,146.17
40,496,82,1/20/2023,4,700.5
41,890,93,11/12/2023,1,23.55
44,551,44,10/5/2023,4,542.39
45,355,95,9/4/2022,2,254.77
46,923,55,4/13/2025,1,71.68
47,42,76,11/26/2023,4,155.81
48,145,57,5/21/2023,4,235.4
49,923,45,3/2/2023,4,94.71
50,773,36,7/19/2023,2,137.16
51,599,85,10/28/2022,1,85.93
52,902,72,6/6/2023,5,476.78
54,580,6,11/24/2022,2,387.64
55,319,11,9/16/2023,3,411.25
56,46,95,3/10/2024,3,556.54
57,94,72,3/18/2025,4,113.07
58,990,85,5/5/2024,2,57.67
59,833,14,7/26/2024,4,202.31
60,190,41,6/11/2022,5,464.97
61,333,71,2/2/2024,4,461.55
63,428,54,10/29/2022,4,480.79
64,890,3,11/17/2023,3,257.16
65,428,63,1/20/2023,5,333.96
66,824,11,8/19/2024,5,224.37
67,92,15,10/6/2023,4,188.88
68,165,36,11/27/2023,2,603.75
69,323,100,11/1/2023,3,35.1
70,849,10,8/23/2024,2,238.61
71,125,39,1/2/2024,1,56.84
72,85,65,4/7/2025,3,460.82
73,604,46,11/21/2024,3,113.79
74,351,14,8/29/2023,1,37.56
75,96,29,3/16/2025,5,510.91
76,986,43,12/31/2023,1,182.24
77,599,87,7/29/2023,4,147.28
78,496,52,11/14/2022,3,430.42
79,165,25,4/3/2023,3,569.55
80,432,87,7/17/2023,5,774.21
82,4,54,7/17/2022,3,390.85
83,572,89,3/7/2025,2,178.6
84,352,44,11/2/2024,3,465.44
85,144,59,11/22/2022,3,44.61
86,207,40,4/7/2024,1,178.19
87,248,65,9/8/2022,3,116.88
88,576,80,1/2/2023,4,548.16
90,677,48,6/16/2023,3,412.89
91,699,48,10/1/2024,5,939.47
92,373,8,5/21/2024,2,319.4
93,339,55,8/18/2022,3,438.0
94,939,72,11/23/2024,4,192.12
95,631,93,10/11/2022,4,423.89
96,484,94,7/30/2023,3,559.37
97,79,77,10/28/2024,3,248.71
98,511,30,8/11/2023,1,186.02
99,947,2,1/8/2025,3,401.86
100,896,24,6/12/2022,1,60.44
101,19,8,12/21/2022,3,539.3
102,136,65,8/30/2023,1,28.78
103,30,66,11/6/2022,1,164.59
104,626,19,5/24/2023,5,208.93
106,348,37,9/6/2022,4,722.55
107,544,27,9/9/2022,1,48.89
109,82,19,2/26/2025,1,30.15
110,149,53,1/24/2025,2,320.45
111,133,59,9/2/2024,5,838.7
112,493,27,9/1/2022,2,383.32
113,230,6,12/20/2023,3,321.51
114,58,56,9/28/2023,1,86.24
115,780,27,3/23/2023,3,79.53
116,207,68,2/14/2025,2,66.21
117,978,41,4/12/2025,1,189.31
118,593,53,2/16/2024,2,114.32
119,348,63,12/11/2023,2,312.72
120,975,15,9/9/2024,4,776.22
121,861,55,6/26/2022,5,764.52
122,978,30,12/13/2022,4,245.54
123,915,76,5/30/2023,3,493.16
124,48,99,12/29/2024,2,179.68
125,747,35,5/30/2024,1,52.25
126,252,32,3/16/2024,2,115.49
127,598,30,2/27/2025,3,590.28
129,144,44,10/28/2023,5,408.8
130,476,95,5/4/2022,2,29.41
131,915,61,8/20/2023,3,146.54
132,754,34,6/29/2024,4,106.13
133,228,23,8/11/2022,4,295.41
134,595,81,11/29/2023,3,575.69
135,781,64,7/11/2023,2,101.98
136,352,2,1/10/2023,1,92.66
137,759,29,4/5/2024,3,213.7
139,59,76,9/29/2022,5,207.66
140,965,8,5/15/2022,2,236.06
141,327,9,9/7/2023,2,22.6
142,383,38,2/18/2025,3,338.84
143,669,90,6/7/2024,4,716.41
145,757,97,11/27/2024,2,35.94
146,399,33,12/26/2023,1,160.68
147,577,99,9/8/2024,4,380.5
148,438,55,2/24/2023,3,132.08
149,223,97,11/5/2023,3,170.47
150,314,3,7/7/2024,3,173.55
151,851,22,1/27/2025,5,956.16
152,756,39,8/20/2024,2,191.48
153,346,64,9/2/2024,3,293.58
154,491,54,3/11/2025,1,21.79
156,162,60,8/31/2024,3,437.19
157,104,92,10/25/2024,1,170.74
158,100,3,1/24/2025,4,477.44
159,563,81,5/16/2022,4,197.5
160,306,13,3/20/2023,1,108.35
161,653,53,2/10/2024,2,338.76
162,766,47,12/15/2023,2,314.83
163,750,35,11/19/2024,3,236.87
165,234,45,12/10/2024,1,150.7
166,638,63,8/15/2022,2,318.42
167,570,31,5/24/2023,4,503.52
168,4,35,5/18/2024,5,383.44
169,360,56,5/30/2024,3,243.95
170,577,63,7/10/2022,2,162.42
171,969,94,3/19/2025,1,151.2
172,49,5,6/13/2023,1,195.08
173,17,16,12/17/2022,4,703.97
174,853,79,12/2/2022,3,369.41
175,543,81,1/14/2025,1,53.27
177,732,73,5/7/2024,2,289.34
178,314,34,1/17/2024,4,711.74
179,27,62,3/29/2024,5,215.07
180,537,63,10/19/2023,1,81.2
181,585,62,2/28/2025,5,133.35
182,664,10,6/18/2022,2,140.01
183,357,30,4/6/2025,1,114.41
184,251,97,9/15/2024,1,126.57
185,982,88,2/27/2023,2,119.79
186,831,34,3/1/2024,3,224.05
187,290,71,10/21/2022,3,545.86
188,210,79,3/9/2025,1,189.24
190,767,41,7/24/2024,4,575.06
191,769,12,7/24/2022,4,307.02
192,721,65,1/22/2023,1,145.04
193,672,30,1/22/2023,2,305.0
194,763,24,12/2/2022,5,251.12
195,676,74,1/15/2025,1,195.37
196,935,64,8/8/2024,1,129.24
197,201,58,7/19/2024,2,188.53
198,695,49,5/21/2022,5,152.53
199,676,91,10/25/2024,1,42.66
200,625,22,11/29/2022,5,806.56
201,764,75,3/12/2023,4,236.3
202,207,65,11/4/2024,4,287.86
203,404,94,7/28/2022,1,176.0
204,554,80,10/1/2024,5,788.07
205,138,63,1/9/2024,2,342.5
206,307,96,3/18/2025,3,536.57
207,851,86,9/2/2022,5,187.84
208,767,16,6/27/2022,5,252.23
209,325,48,6/8/2024,5,726.55
210,917,83,12/13/2022,4,363.77
211,835,62,12/3/2023,1,167.36
212,201,82,5/20/2023,5,174.26
213,35,2,3/26/2024,4,66.45
214,948,8,8/7/2022,3,336.97
215,796,27,12/9/2024,3,366.12
216,597,54,6/28/2023,2,73.29
217,326,99,5/20/2022,1,88.35
219,352,6,10/20/2023,4,789.91
220,680,3,1/31/2025,1,115.85
221,97,45,4/27/2023,3,52.34
222,446,68,12/4/2024,3,288.68
223,672,72,10/19/2024,5,430.77
224,644,14,10/10/2023,1,151.51
225,667,45,3/24/2023,2,383.2
226,122,15,1/9/2025,5,964.0
228,559,13,12/26/2022,1,178.58
229,501,67,10/26/2023,1,151.95
230,436,23,11/4/2023,1,16.34
231,43,14,7/27/2024,1,147.3
232,515,15,1/21/2023,4,257.37
233,315,9,9/8/2022,5,902.35
234,540,56,11/16/2023,3,88.71
235,248,84,8/10/2024,4,366.31
236,238,93,2/24/2024,5,64.02
237,125,60,3/18/2024,3,67.73
238,911,66,3/13/2023,3,246.83
239,157,30,1/21/2024,5,199.25
240,724,19,10/16/2022,2,60.9
241,21,9,8/31/2024,5,300.55
242,857,100,7/25/2023,5,91.72
243,98,12,7/23/2023,2,290.91
244,539,23,5/21/2023,4,265.45
245,291,25,4/14/2025,1,94.91
246,303,17,3/28/2023,5,925.88
247,559,94,8/18/2023,5,376.13
248,250,73,10/25/2024,4,377.95
250,307,56,6/27/2023,3,176.41
251,168,55,7/15/2023,2,147.28
252,447,54,2/9/2025,2,82.73
253,909,67,5/9/2023,4,117.54
254,544,34,11/11/2023,5,502.68
256,304,3,1/27/2025,3,424.49
257,850,45,3/28/2023,3,57.7
258,740,71,6/9/2022,4,701.46
259,840,23,6/3/2024,1,183.61
260,377,26,5/6/2022,2,115.21
262,200,61,9/16/2022,4,751.65
263,318,95,6/11/2022,2,79.57
264,835,38,7/13/2022,5,117.85
266,724,37,9/29/2024,4,469.31
267,134,35,12/9/2022,1,175.89
269,662,92,6/12/2024,5,397.67
270,905,74,5/26/2024,5,543.42
271,549,35,5/13/2024,2,273.69
272,413,62,5/4/2023,2,205.99
